sales,ratio
543.57,0.021
481.77,0.009
1973.27,0.044
166.47,0.015
59.33,0.042
148.5,0.017
569.43,0.024
639.7,0.006
20.93,0.064
6314.87,0.021
799.17,0.019
348.73,0.036
12.17,0.067
5437.93,0.075
21877.93,0.016
1.93,0.035
469.07,0.061
40.83,0.085
2.3,0.086
36.33,0.058
723.67,0.01
15.7,0.103
3868.63,0.024
4466.13,0.012
241.37,0.027
244.03,0.042
419.03,0.022
835.5,0.039
646.07,0.047
5775.8,0.021
150.4,0.028
1302.9,0.013
343.03,0.063
1.27,0.118
64974.6,0.03
35.1,0.049
87.4,0.08
7259.37,0.049
3518.03,0.026
9586.97,0.028
738.47,0.061
67.23,0.087
201.17,0.043
2953.47,0.011
117.83,0.036
582.77,0.072
1098.2,0.019
47.5,0.037
411.57,0.052
573.17,0.045
644.67,0.01
3.9,0.057
949.67,0.003
141.1,0.04
173.4,0.058
59.1,0.009
15454.1,0.005
177.83,0.126
224.63,0.079
3280.37,0.045
815.43,0.077
4247.67,0.026
9.1,0.074
5610.53,0.026
1022.2,0.032
4106.63,0.024
66.43,0.057
60.7,0.035
63.77,0.054
10099.77,0.007
5.2,0.091
3.9,0.076
2381.93,0.05
13.17,0.112
836.73,0.026
4119.83,0.043
71.63,0.043
14,0.093
359.23,0.031
103.5,0.029
10832.2,0.008
4.07,0.035
16.87,0.056
171.27,0.04
1860.83,0.01
388.1,0.104
63438.27,0.021
34249.9,0.003
15.83,0.056
24700,0.081
1374.9,0.035
809.23,0.042
342.77,0.02
,
0.93,0.045
10.3,0.099
5701.3,0.029
390.1,0.049
68.67,0.051
149.4,0.044
12.47,0.048
593.6,0.043
281.7,0.076
995.2,0.033
1938.3,0.006
46.7,0.018
174.67,0.063
152.83,0.058
3.4,0.083
1815.63,0.02
3.33,0.007
